Feature,Mutual Information
0,0.029314853286999343
491,0.5680823202865137
0.1,0.4465130205367216
0.2,0.0
0.3,0.006014731781232241
0.4,0.0015592725150059827
0.5,0.007403834214328331
0.6,0.00010022646884322306
0.7,0.29040266666778347
0.8,0.003665317700702442
0.9,0.00012666734692445836
0.10,0.0033433687404438306
0.11,0.0029375585096922396
0.12,0.0024556959720183347
0.13,0.0
0.14,0.003717657136473873
0.15,0.0
0.16,0.00040737060005979764
0.18,0.0004969529981702081
2,0.27297250576688437
2.1,0.08241540734686414
0.19,0.27321961140172557
0.20,0.26370311076943476
0.21,0.04433917019775002
0.22,0.041924431906969595
1,0.35447070827929616
0.23,0.35903659919811215
0.24,0.10431518640098081
150,0.14304792532859611
25,0.3427724068239357
0.17,0.3097220894645629
0.03,0.29157909410697247
0.17.1,0.1433378303507986
0.25,0.19383462882823332
0.26,0.2807731928683852
0.27,0.27456803548214626
0.05,0.036947841033772466
0.28,0.0629885478451866
