Feature,Mutual Information,Redundancy,GMI
sbytes,0.4960250710265546,0.0,0.4960250710265546
ct_state_ttl,0.33707448215367775,2.066419434215136,-1.7293449520614583
ct_dst_sport_ltm,0.19698498642254414,2.0105062433765797,-1.8135212569540355
ct_srv_dst,0.18557251659894902,2.1701397804790603,-1.9845672638801113
dttl,0.3194573136656156,2.397236339257862,-2.0777790255922466
sttl,0.3272194230095613,2.5151598573394445,-2.1879404343298834
dur,0.3234613459188356,2.5615852282132554,-2.2381238822944196
smean,0.40054957368461763,2.8070548178618315,-2.4065052441772137
is_sm_ips_ports,0.01775080049306621,2.5773363633139024,-2.5595855628208364
ct_src_ltm,0.15729485346515637,2.7281670360829864,-2.57087218261783
dbytes,0.3398514438678113,2.94601197695331,-2.606160533085499
state,0.20031986346663078,2.847479578567369,-2.647159715100738
synack,0.219154407463523,2.9199022875295793,-2.7007478800660563
sload,0.3706190700694423,3.095910775883681,-2.7252917058142385
ct_dst_ltm,0.1587173570704723,2.940002218880289,-2.7812848618098167
ct_srv_src,0.17134003212864335,2.9624319300232136,-2.79109189789457
dinpkt,0.27660012174254,3.143671058686702,-2.8670709369441623
ackdat,0.2085820232534088,3.077452584042875,-2.8688705607894662
dpkts,0.27537344853684886,3.3565043547416753,-3.0811309062048267
dmean,0.3125408634924991,3.4058988620515325,-3.0933579985590334
rate,0.3357097685651571,3.432480798973616,-3.0967710304084592
ct_dst_src_ltm,0.16027278245190857,3.338762690969425,-3.1784899085175162
response_body_len,0.03830488922198794,3.2256828208978288,-3.187377931675841
tcprtt,0.21937418111452223,3.420912089977202,-3.20153790886268
ct_src_dport_ltm,0.14841167692639945,3.4200856385779073,-3.2716739616515076
proto,0.14488576271341946,3.6496977231317103,-3.504811960418291
dload,0.2584726075292787,3.8541025877627484,-3.5956299802334697
sinpkt,0.2629551281091198,4.038780960598981,-3.7758258324898613
swin,0.09845464165195006,4.250697804118049,-4.1522431624661
sjit,0.1934102757414038,4.535454831994238,-4.342044556252834
ct_ftp_cmd,0.00395478851540898,4.39628854125502,-4.392333752739611
spkts,0.18580865015781778,4.729144992707154,-4.543336342549336
djit,0.1624321308189174,5.09377904272619,-4.931346911907273
dwin,0.08608979758959823,5.22446031009516,-5.138370512505562
dloss,0.14242552776820472,5.698602267531005,-5.5561767397628
stcpb,0.08634230820883793,5.902083020109966,-5.815740711901128
sloss,0.12276536407501215,6.070064410066092,-5.9472990459910795
service,0.06543437177816913,6.17079853964444,-6.105364167866271
dtcpb,0.08178076930729716,6.321584116225808,-6.239803346918511
is_ftp_login,0.003289587912819414,6.42675033220488,-6.42346074429206
ct_flw_http_mthd,0.006648367025543278,15.875218563312538,-15.868570196286996
trans_depth,0.005574454449270405,18.665905542496272,-18.660331088047002
