Feature,Mutual Information
dur,0.3234613459188356
proto,0.14488576271341946
service,0.06543437177816913
state,0.20031986346663078
spkts,0.18580865015781778
dpkts,0.27537344853684886
sbytes,0.4960250710265546
dbytes,0.3398514438678113
rate,0.3357097685651571
sttl,0.3272194230095613
dttl,0.3194573136656156
sload,0.3706190700694423
dload,0.2584726075292787
sloss,0.12276536407501215
dloss,0.14242552776820472
sinpkt,0.2629551281091198
dinpkt,0.27660012174254
sjit,0.1934102757414038
djit,0.1624321308189174
swin,0.09845464165195006
stcpb,0.08634230820883793
dtcpb,0.08178076930729716
dwin,0.08608979758959823
tcprtt,0.21937418111452223
synack,0.219154407463523
ackdat,0.2085820232534088
smean,0.40054957368461763
dmean,0.3125408634924991
trans_depth,0.005574454449270405
response_body_len,0.03830488922198794
ct_srv_src,0.17134003212864335
ct_state_ttl,0.33707448215367775
ct_dst_ltm,0.1587173570704723
ct_src_dport_ltm,0.14841167692639945
ct_dst_sport_ltm,0.19698498642254414
ct_dst_src_ltm,0.16027278245190857
is_ftp_login,0.003289587912819414
ct_ftp_cmd,0.00395478851540898
ct_flw_http_mthd,0.006648367025543278
ct_src_ltm,0.15729485346515637
ct_srv_dst,0.18557251659894902
is_sm_ips_ports,0.01775080049306621
